camera_id,camera_model,camera_sensitivity_raw,camera_operating_temperature_raw,camera_data_transfer_interface,camera_case_type,camera_resolution_raw,camera_lens_type,camera_IR_illumination,camera_compression_codec,camera_memory_card_support,camera_audio_inputs_outputs,camera_alarm_inputs_outputs,camera_SATA_quantity_capacity,camera_independent_video_outputs,camera_data_transfer_rate,camera_lightning_protection,camera_power_raw,camera_power_supply_raw,camera_comment,camera_sensitivity_day_x10000,camera_operating_temperature_min,camera_operating_temperature_max,camera_resolution,camera_power_x10,camera_power_supply_poe
34,LTV-3CNB40-F40,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,4 Mp,FIX 4.0,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,4 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-50,60,4,40,True
35,LTV-3CNMB40-F40-L,"0.003 к (ц, F1.6, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,4 Mp,FIX 4.0,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,4 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,30,-40,60,4,40,True
36,LTV-3CNB40-M2713,"0.002 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,4 Mp,MTZ 2.7-13.5,50,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,8.5 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-50,60,4,85,True
37,LTV-3CNB40-M2812-L,"0.0005 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,4 Mp,MTZ 2.8-12,000,"H.265, H.264, Ultra265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,"11,5 Вт","12 В (DC); ±25 %, PoE(IEEE802.3af)",Сертификат 969,5,-50,60,4,115,True
38,LTV-3CNB40-M0832-F,"0.001 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,4 Mp,MTZ 8-32,120,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,1/1,2/1,-,-,1x100  Мб/с,True,20 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,10,-50,60,4,200,True
39,LTV-3CNB40-Z22-HF,"0.001 к (ц, F1.5, АРУ к.) WDR 120 дБ",-50…+60,"RJ45, SFP",Bullet,4 Mp,22х TF,150,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,1/1,2/1,-,-,1x100  Мб/с,True,15 Вт," AC24V(±25%), PoE(IEEE 802.3at)",Сертификат 969,10,-50,60,4,150,True
40,LTV-3CNB50-F1,"0.01 к (ц, F2.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,5 Mp,FIX 1.68,20,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,"5,5 Вт","12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,100,-40,60,5,55,True
41,LTV-3CNB50-F28,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,5 Mp,FIX 2.8,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,5 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,20,-50,60,5,50,True
42,LTV-3CNB50-F40,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,5 Mp,FIX 4.0,40,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, – / –",-,-,-,1x100  Мб/с,True,5 Вт,"12 В (DC) ±25 %, PoE(IEEE802.3af);",Сертификат 969,20,-50,60,5,50,True
43,LTV-3CNB50-M2713,"0.002 к (ц, F1.2, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,5 Mp,MTZ 2.7-13.5,50,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,1/1,1/1,-,-,1x100  Мб/с,True,8 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-50,60,5,80,True
44,LTV-3CNB50-M0560,"0.002 к (ц, F1.6, АРУ к.) WDR 120 дБ",-50…+60,RJ45,Bullet,5 Mp,MTZ 5-60,100,"H.265, H.264 (Bas, Main, High), Ultra 265, MJPEG",MicroSD,1/1,2/1,-,-,1x100  Мб/с,True,13 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,20,-50,60,5,130,True
45,LTV-3CNMB80-F40-L,"0.0005 к (ц, F1.0, АРУ к.) WDR 120 дБ",-40…+60,RJ45,Bullet,8 Mp,FIX 4.0,30,"H.265, H.264 (Base, Main, High), Ultra 265, MJPEG",MicroSD,"встроенный микрофон, 1 / 1",-,-,-,1x100  Мб/с,True,13 Вт,12В (DC) / PoE (IEEE 802.3af),Сертификат 969,5,-40,60,8,130,True
